ID,Name,Long,Lat,Category,Province,District,Subdistrict,Uses DATCOV19 surveillance online platform,Main Health care Services Offered,Size,Beds Usable,Beds Approved,Beds Surgical Usable,Beds Surgical Approved,Surgeons Qualified,Surgeons_unqualified,Theatres,Total number of beds,Total number of staff,Cluster,Webpage,Geo_subdivision
625,JMH Ascot Park Hospital,31.018237,-29.8485,Private Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,YES,Relevant Private Facility services – visit their website for more details,,74,,20,,,,2,,,,https://www.jmh.co.za/ascot-park-hospital/,ZA-KZN
626,JMH City Hospital,31.014662,-29.8513,Private Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,YES,Relevant Private Facility services – visit their website for more details,,158,,40,,,,7,,,,https://www.jmh.co.za/contact-us/,ZA-KZN
627,JMH Durdoc Hospital,31.017216,-29.8605,Private Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,YES,Relevant Private Facility services – visit their website for more details,,50,,12,,,,4,,,,https://www.jmh.co.za/durdoc-hospital/,ZA-KZN
628,JMH Isipingo Hospital,30.926839,-29.9863,Private Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,YES,Relevant Private Facility services – visit their website for more details,,168,,20,,,,4,,,,https://www.jmh.co.za/isipingo-hospital/,ZA-KZN
629,KwaZulu-Natal Child Hospital,31.042836,-29.8666,Specialised Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,https://kznchildrenshospital.org/,ZA-KZN
630,Kynoch Hospital,30.90682,-30.0184,Private Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-KZN
631,Life Chatsmed Garden Hospital,30.906225,-29.9095,Private Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,YES,Relevant Private Facility services – visit their website for more details,,177,,54,,,,7,,,,https://www.lifehealthcare.co.za/hospitals/kwazulu-natal/durban/life-chatsmed-garden-hospital/,ZA-KZN
632,Life Entabeni Hospital,30.987428,-29.8555,Private Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,YES,Relevant Private Facility services – visit their website for more details,,286,,126,,,,13,,,,https://www.lifehealthcare.co.za/hospitals/kwazulu-natal/durban/life-entabeni-hospital/,ZA-KZN
633,Life Mt Edgecombe Hospital,31.035649,-29.7157,Private Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,YES,Relevant Private Facility services – visit their website for more details,,173,,52,,,,4,,,,https://www.lifehealthcare.co.za/hospitals/kwazulu-natal/durban/life-mount-edgecombe-hospital/,ZA-KZN
634,Life The Crompton Hospital,30.865212,-29.8112,Private Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,YES,Relevant Private Facility services – visit their website for more details,,163,,30,,,,4,,,,https://www.lifehealthcare.co.za/hospitals/kwazulu-natal/durban/life-the-crompton-hospital/,ZA-KZN
635,Life Westville Hospital,30.932113,-29.8509,Private Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,YES,Relevant Private Facility services – visit their website for more details,,270,,85,,,,11,,,,https://www.lifehealthcare.co.za/hospitals/kwazulu-natal/durban/life-westville-hospital/,ZA-KZN
636,Malvern Centre Hospital,30.920624,-29.8814,Private Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.netcare.co.za/Our-centres/Medicross-Malvern,ZA-KZN
637,Mediclinic Victoria Hospital,31.118208,-29.5733,Private Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,YES,Relevant Private Facility services – visit their website for more details,,120,,25,,,,4,,,,https://www.mediclinic.co.za/en/victoria/home.html,ZA-KZN
638,Medicross Procare Sub-Acute Hospital,30.913635,-30.0243,Private Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-KZN
639,Netcare Kingsway Hospital,30.903978,-30.0328,Private Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,YES,Relevant Private Facility services – visit their website for more details,,180,,52,,,,6,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Kingsway-Hospital,ZA-KZN
640,Netcare Parklands Hospital,30.998478,-29.834,Private Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,YES,Relevant Private Facility services – visit their website for more details,,212,,43,,,,8,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Parklands-Hospital,ZA-KZN
641,Netcare St Augustine's Hospital,30.990445,-29.8564,Private Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,YES,Relevant Private Facility services – visit their website for more details,,418,,185,,,,15,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-St-Augustines-Hospital,ZA-KZN
642,Netcare Umhlanga Hospital,31.068697,-29.7275,Private Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,YES,Relevant Private Facility services – visit their website for more details,,224,,82,,,,8,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-uMhlanga-Hospital,ZA-KZN
643,NHN Capital Haemato Hospital,30.985775,-29.8517,Private Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,http://www.capitalhospital.co.za/capital-haematology-hospital/,ZA-KZN
644,NHN Healing Hills Hospital,30.663681,-29.7391,Private Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.healinghills.co.za/admission.html,ZA-KZN
645,NHN Icare Amanzimtoti Med Centre,30.914036,-30.0186,Private Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.intercare.co.za/facilities/intercare-amanzimtoti,ZA-KZN
646,NHN Lenmed eThekwini Heart Hospital,30.995682,-29.7774,Private Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,YES,Relevant Private Facility services – visit their website for more details,,246,,71,,,,7,,,,https://www.lenmed.co.za/hospital/ethekwini-private-hospital-and-heart-centre-lenmed/,ZA-KZN
647,NHN Lenmed Shifa Hospital,30.984954,-29.8308,Private Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,YES,Relevant Private Facility services – visit their website for more details,,133,,46,,,,3,,,,https://www.lenmed.co.za/hospital/shifa-private-hospital-lenmed/,ZA-KZN
648,NHN M-Care Umhlanga Hospital,31.069036,-29.7276,Private Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://nurturehealth.net/umhlanga/,ZA-KZN
649,Oral and Dental Institute,30.98431,-29.8261,Specialised Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,,ZA-KZN
650,Saiccor Hospital,30.79335,-30.2011,Private Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-KZN
651,Westridge Day Surg Centre,30.59089,-29.51065,Private Hospital,KwaZuluNatal,eThekwini Metropolitan Municipality,eThekwini Metropolitan Municipality Sub,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-KZN
652,NHN Riverview Clinic Hospital,29.497375,-29.7946,Private Hospital,KwaZuluNatal,Harry Gwala District Municipality,Dr Nkosazana Dlamini Zuma Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://riverviewmanor.co.za/,ZA-KZN
653,Netcare Kokstad Private Hospital,29.424315,-30.5521,Private Hospital,KwaZuluNatal,Harry Gwala District Municipality,Greater Kokstad Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,36,,15,,,,2,,,,https://www.netcarehospitals.co.za/Hospital/Kokstad-Private-Hospital,ZA-KZN
654,KwaDukuza Private Hospital,31.275556,-29.3468,Private Hospital,KwaZuluNatal,iLembe District Municipality,KwaDukuza Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://kwadukuzaprivatehospital.co.za/,ZA-KZN
655,Netcare Alberlito Hospital,31.201856,-29.5304,Private Hospital,KwaZuluNatal,iLembe District Municipality,eThekwini Metropolitan Municipality Sub,YES,Relevant Private Facility services – visit their website for more details,,119,,25,,,,3,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Alberlito-Hospital,ZA-KZN
656,Amatikulu Chronic Home Hospital,31.56957,-29.125,Specialised Hospital,KwaZuluNatal,iLembe District Municipality,Mandeni Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,,ZA-KZN
657,JMH Richards Bay Med Institute,32.053267,-28.749132,Private Hospital,KwaZuluNatal,King Cetshwayo District Municipality,City of uMhlathuze Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.jmh.co.za/richards-bay-medical-institute/,ZA-KZN
658,Life Empangeni Private Hospital,31.893714,-28.7363,Private Hospital,KwaZuluNatal,King Cetshwayo District Municipality,City of uMhlathuze Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,174,,56,,,,5,,,,https://www.lifehealthcare.co.za/hospitals/kwazulu-natal/empangeni/life-empangeni-private-hospital/,ZA-KZN
659,Melomed Rich Bay Hospital,31.932124,-28.7698,Private Hospital,KwaZuluNatal,King Cetshwayo District Municipality,City of uMhlathuze Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.melomed.co.za/melomedrichardsbay.asp,ZA-KZN
660,Netcare The Bay Hospital,32.052822,-28.7495,Private Hospital,KwaZuluNatal,King Cetshwayo District Municipality,City of uMhlathuze Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,263,,78,,,,7,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-The-Bay-Hospital,ZA-KZN
661,Richards Bay Med Institute Day Hospital,32.053267,-28.749132,Private Hospital,KwaZuluNatal,King Cetshwayo District Municipality,City of uMhlathuze Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-KZN
662,Netcare Margate Hospital,30.358177,-30.8617,Private Hospital,KwaZuluNatal,Ugu District Municipality,Ray Nkonyeni Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,99,,22,,,,4,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Margate-Hospital,ZA-KZN
663,NHN Shelly Beach Day Hospital,30.404661,-30.8017,Private Hospital,KwaZuluNatal,Ugu District Municipality,Ray Nkonyeni Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,64,,0,,,,0,,,,https://shellybeachhospital.com/about-page/,ZA-KZN
664,Shelly Beach Private Hospital,30.404119,-30.800845,Private Hospital,KwaZuluNatal,Ugu District Municipality,Ray Nkonyeni Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://shellybeachhospital.com/about-page/,ZA-KZN
665,Shelly Beach Sub-Acute Hospital,30.403825,-30.799796,Private Hospital,KwaZuluNatal,Ugu District Municipality,Ray Nkonyeni Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://shellybeachhospital.com/about-page/,ZA-KZN
666,Akeso PMB Hospital,30.410599,-29.6046,Private Hospital,KwaZuluNatal,Umgungundlovu District Municipality,Msunduzi Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.akeso.co.za/clinic/akeso-pietermaritzburg,ZA-KZN
667,Eden Gardens Private Hospital,30.358307,-29.640385,Private Hospital,KwaZuluNatal,Ugu District Municipality,Msunduzi Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://edengph.co.za/,ZA-KZN
668,Mediclinic Pietermaritzburg Hospital,30.388683,-29.6086,Private Hospital,KwaZuluNatal,Ugu District Municipality,Msunduzi Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.mediclinic.co.za/en/pietermaritzburg/home.html,ZA-KZN
669,Mildlands Med Centre,30.391519,-29.59265,Private Hospital,KwaZuluNatal,Ugu District Municipality,Msunduzi Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://midlandsmedicalcentre.co.za/,ZA-KZN
670,Netcare St Anne's Hospital,30.384357,-29.6017,Private Hospital,KwaZuluNatal,Ugu District Municipality,Msunduzi Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,179,,72,,,,8,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-St-Annes-Hospital,ZA-KZN
671,NHN Daymed Private Hospital,30.407526,-29.5626,Private Hospital,KwaZuluNatal,Ugu District Municipality,Msunduzi Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,52,,20,,,,2,,,,http://www.daymed.co.za/,ZA-KZN
672,Pietermaritzburg Eye Hospital,30.389691,-29.612571,Private Hospital,KwaZuluNatal,Ugu District Municipality,Msunduzi Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.pmbeyehospital.co.za/,ZA-KZN
673,Royal Rehab Hospital,30.384522,-29.602896,Private Hospital,KwaZuluNatal,Ugu District Municipality,Msunduzi Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://rh.org.za/,ZA-KZN
674,St Mary's Private Hospital,28.795423,-31.551878,Private Hospital,KwaZuluNatal,Ugu District Municipality,Msunduzi Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-KZN
675,Wembley House Hospital,30.36702,-29.592781,Private Hospital,KwaZuluNatal,Ugu District Municipality,Msunduzi Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.netcare.co.za/Our-centres/Medicross-Wembley-House,ZA-KZN
676,Life Hilton Private Hospital,30.299325,-29.5395,Private Hospital,KwaZuluNatal,Umgungundlovu District Municipality,uMngeni Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.lifehealthcare.co.za/hospitals/kwazulu-natal/pietermaritzburg/life-hilton-private-hospital/,ZA-KZN
677,Mediclinic Howick Hospital,30.218672,-29.477,Private Hospital,KwaZuluNatal,Ugu District Municipality,uMngeni Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,26,,20,,,,2,,,,https://www.mediclinic.co.za/en/howick/home.html,ZA-KZN
678,NHN Oatlands Care Med Centre,30.217638,-29.4784,Private Hospital,KwaZuluNatal,Ugu District Municipality,uMngeni Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.oatlandscarecentre.co.za/,ZA-KZN
679,Oatlands Care Centre,30.217612,-29.477035,Private Hospital,KwaZuluNatal,Ugu District Municipality,uMngeni Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-KZN
680,Talana Step Down Hospital,28.074803,-26.155076,Private Hospital,KwaZuluNatal,Umzinyathi District Municipality,Endumeni Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-KZN
681,Greytown Private Hospital,30.60663,-29.0607,Private Hospital,KwaZuluNatal,Umzinyathi District Municipality,Umvoti Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,http://www.kznhealth.gov.za/greytownhospital.htm,ZA-KZN
682,Essen Med Centre,29.768812,-28.557,Private Hospital,KwaZuluNatal,Uthukela District Municipality,Alfred Duma Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,http://essenmedical.co.za/,ZA-KZN
683,Ladysmith Sub-Acute Hospital,29.7682,-28.557228,Private Hospital,KwaZuluNatal,Uthukela District Municipality,Alfred Duma Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-KZN
684,AbaQulusi Private Hospital,30.775736,-27.7717,Private Hospital,KwaZuluNatal,Zululand District Municipality,AbaQulusi Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://nhn.co.za/abaqulusi-private-hospital/,ZA-KZN
685,Longridge Colliery Mine Hospital,30.60844,-27.4872,Military Hospital,KwaZuluNatal,Zululand District Municipality,eDumbe Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,,ZA-KZN
686,NHN Nongoma Private Hospital,31.648265,-27.9298,Private Hospital,KwaZuluNatal,Zululand District Municipality,Nongoma Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-KZN
687,Lebowakgomo Medleb Hospital,29.475437,-24.3026,Private Hospital,Limpopo,Capricorn District Municipality,Lepelle-Nkumpi Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-LP
688,Mediclinic Limpopo Hospital,29.46334,-23.9082,Private Hospital,Limpopo,Capricorn District Municipality,Polokwane Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,247,,105,,,,8,,,,https://www.mediclinic.co.za/en/limpopo/home.html,ZA-LP
689,Netcare Pholoso Hospital,29.493351,-23.9016,Private Hospital,Limpopo,Capricorn District Municipality,Polokwane Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Pholoso-Hospital,ZA-LP
690,St Joseph's Hospital,29.453,-23.893,District Hospital,Limpopo,Capricorn District Municipality,Polokwane Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,,ZA-LP
691,Life Esidimeni Shiluvana Hospital,30.27413,-24.0428,Private Hospital,Limpopo,Mopani District Municipality,Greater Tzaneen Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-LP
692,Mediclinic Tzaneen Hospital,30.154319,-23.8242,Private Hospital,Limpopo,Mopani District Municipality,Greater Tzaneen Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,129,,35,,,,3,,,,https://www.mediclinic.co.za/en/tzaneen/home.html,ZA-LP
693,NHN Quality Care Private Hospital,29.913072,-23.0447,Private Hospital,Limpopo,Vhembe District Municipality,Makhado Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-LP
694,NHN Zoutpansberg Private Hospital,29.897218,-23.0408,Private Hospital,Limpopo,Mopani District Municipality,Greater Tzaneen Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,22,,6,,,,1,,,,https://www.zoutmed.co.za/,ZA-LP
695,NHN St Vincent's Hospital,28.28067,-24.8811,Private Hospital,Limpopo,Waterberg District Municipality,Bela-Bela Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,83,,24,,,,2,,,,,ZA-LP
696,Mediclinic Lephalale Hospital,27.698139,-23.6864,Private Hospital,Limpopo,Waterberg District Municipality,Lephalale Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.mediclinic.co.za/en/lephalale/home.html,ZA-LP
697,Anglo Platinum Mine Hospital,27.20111,-25.533977,Military Hospital,Limpopo,Waterberg District Municipality,Mogalakwena Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,,ZA-LP
698,Mediclinic Thabazimbi Hospital,27.407217,-24.599,Private Hospital,Limpopo,Waterberg District Municipality,Thabazimbi Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,21,,5,,,,1,,,,https://www.mediclinic.co.za/en/thabazimbi/home.html,ZA-LP
699,Platinum Health Amandelbult Hospital,27.387811,-25.7602,Private Hospital,Limpopo,Waterberg District Municipality,Thabazimbi Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.platinumhealth.co.za/service_provider/amandelbult-hospital-2/,ZA-LP
700,Platinum Health Setaria Mine Hospital,27.405936,-24.7957,Military Hospital,Limpopo,Waterberg District Municipality,Thabazimbi Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,,ZA-LP
701,Platinum Health Thabazimbi Med Centre,27.402773,-24.5827,Private Hospital,Limpopo,Waterberg District Municipality,Thabazimbi Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-LP
702,Platinum Health Union Mine Hospital,27.153089,-25.9405,Military Hospital,Limpopo,Waterberg District Municipality,Thabazimbi Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,,ZA-LP
703,Swartklip Mine Hospital,27.15166,-24.9393,Military Hospital,Limpopo,Waterberg District Municipality,Thabazimbi Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,https://www.platinumhealth.co.za/service_provider/swartklip-hospital/,ZA-LP
704,Busamed Lowveld Private Hospital,30.977583,-25.4761,Private Hospital,Mpumalanga,Ehlanzeni District Municipality,City of Mbombela Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.busamed.co.za/lowveld/,ZA-MP
705,Eureka Mediclinic Barberton Hospital,31.051946,-25.7622,Private Hospital,Mpumalanga,Ehlanzeni District Municipality,City of Mbombela Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,30,,5,,,,1,,,,,ZA-MP
706,Mediclinic Nelspruit Hospital,30.961882,-25.4935,Private Hospital,Mpumalanga,Ehlanzeni District Municipality,City of Mbombela Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,314,,89,,,,9,,,,https://www.mediclinic.co.za/en/nelspruit/home.html,ZA-MP
707,NHN Kiaat Private Hospital,30.983566,-25.4035,Private Hospital,Mpumalanga,Ehlanzeni District Municipality,City of Mbombela Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.kiaathospital.com/,ZA-MP
708,NHN M-Care Nelspruit Hospital,30.952268,-25.4846,Private Hospital,Mpumalanga,Ehlanzeni District Municipality,City of Mbombela Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://mcare.co.za/nelspruit/,ZA-MP
709,Mediclinic Highveld Hospital,29.23186,-26.4918,Private Hospital,Mpumalanga,Gert Sibande District Municipality,Govan Mbeki Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.mediclinic.co.za/en/highveld/home.html,ZA-MP
710,Mediclinic Secunda Hospital,29.182497,-26.5073,Private Hospital,Mpumalanga,Gert Sibande District Municipality,Govan Mbeki Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,43,,24,,,,3,,,,https://www.mediclinic.co.za/en/secunda/home.html,ZA-MP
711,Winkelhaak Mine Hospital,29.126233,-26.5133,Military Hospital,Mpumalanga,Gert Sibande District Municipality,Govan Mbeki Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,,ZA-MP
712,Life Piet Retief Hospital,30.804255,-27.0202,Private Hospital,Mpumalanga,Gert Sibande District Municipality,Mkhondo Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,45,,17,,,,2,,,,,ZA-MP
713,Ermelo Hospiplan Hospital,29.97482,-26.5229,Private Hospital,Mpumalanga,Gert Sibande District Municipality,Msukaligwa Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-MP
714,Mediclinic Ermelo Hospital,29.987844,-26.5428,Private Hospital,Mpumalanga,Gert Sibande District Municipality,Msukaligwa Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,40,,11,,,,2,,,,https://www.mediclinic.co.za/en/ermelo/home.html,ZA-MP
715,Anglo CoalHighveld Hospital,29.199753,-25.9167,Private Hospital,Mpumalanga,Nkangala District Municipality,Emalahleni Local Municipality,,Relevant Private Facility services – visit their website for more details,,134,,34,,,,2,,,,https://www.platinumhealth.co.za/service_provider/anglocoal-highveld/,ZA-MP
716,Greenside Hospital,29.178193,-25.9586,Private Hospital,Mpumalanga,Nkangala District Municipality,Emalahleni Local Municipality,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-MP
717,Life Cosmos Hospital,29.232742,-25.8841,Private Hospital,Mpumalanga,Nkangala District Municipality,Emalahleni Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,205,,60,,,,7,,,,https://www.lifehealthcare.co.za/hospitals/mpumalanga/witbank/life-cosmos-hospital/,ZA-MP
718,NHN eMalahleni Day Hospital,29.215849,-25.8748,Private Hospital,Mpumalanga,Nkangala District Municipality,Emalahleni Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-MP
719,NHN eMalahleni Private Hospital,29.214917,-25.8754,Private Hospital,Mpumalanga,Nkangala District Municipality,Emalahleni Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,100,,22,,,,3,,,,https://emalahlenihospital.co.za/,ZA-MP
720,NHN Highveld Eye Hospital,29.240453,-25.8721,Private Hospital,Mpumalanga,Nkangala District Municipality,Emalahleni Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://highveldeyehospital.webs.com/,ZA-MP
721,Arnot Colliery Mine Hospital,29.774221,-25.929932,Military Hospital,Mpumalanga,Nkangala District Municipality,Steve Tshwete Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,,ZA-MP
722,Douglas Colliery Mine Hospital,29.8034,-25.9467,Military Hospital,Mpumalanga,Nkangala District Municipality,Steve Tshwete Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,35,,0,0,,0,0,,,,,ZA-MP
723,Koornfontein Mine Hospital,29.187401,-25.8296,Military Hospital,Mpumalanga,Nkangala District Municipality,Steve Tshwete Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,,ZA-MP
724,Life Midmed Hospital,29.457539,-25.7628,Private Hospital,Mpumalanga,Nkangala District Municipality,Steve Tshwete Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,159,,34,,,,4,,,,https://www.lifehealthcare.co.za/hospitals/mpumalanga/middelburg/life-midmed-hospital/,ZA-MP
725,Middelburg Mine Hospital,29.2805.5,-25.46211,Military Hospital,Mpumalanga,Nkangala District Municipality,Steve Tshwete Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,,,,,,,,,,,,ZA-MP
726,Hartswater Hospital,24.81333,-27.7576,District Hospital,Northern Cape,Frances Baard District Municipality,Phokwane Local Municipality,,Services for this public hospital could not be found at the time of recording this data.,,50,,0,0,,4,1,,,,,ZA-NC
727,Mediclinic Kimberley Hospital,24.771611,-28.7449,Private Hospital,Northern Cape,Frances Baard District Municipality,Sol Plaatje Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,252,,91,,,,8,,,,https://www.mediclinic.co.za/en/kimberley/home.html,ZA-NC
728,NHN Lenmed Royal Hospital and Heart Centre,24.762109,-28.7564,Private Hospital,Northern Cape,Frances Baard District Municipality,Sol Plaatje Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.lenmed.co.za/hospital/royal-private-hospital-and-heart-centre-lenmed/,ZA-NC
